n,t,k,wire_qa,pred_qa,resid,wire_naive,wire_fullpq
9,5,0,1309,1309.0,0.0,34479,33759
9,5,1,7943,7943.0,-0.0,34479,33759
9,5,2,14577,14577.0,-0.0,34479,33759
9,5,3,21211,21211.0,-0.0,34479,33759
9,5,4,27845,27845.0,-0.0,34479,33759
9,5,5,34479,34479.0,-0.0,34479,33759
